"subject","version","assignmentId","trial","trial_type","word","value","alt","value2","choice","rt","resp","resp2","resp3","resp4","used_hint","stamp","id"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","28","0","SKUNK","8","HOCKEY","15","1","3354",,,,,"1","2018-10-04 20:30:08","263837"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","29","0","AVOCADO","9","PUMPKIN","1","0","6065",,,,,"1","2018-10-04 20:30:17","263838"
"A2653BIPJKEMRK","cs_wg_rev_conf_v2_pilot1","3TPWUS5F892KZH5ERX5ML813EB8CW4","8","0","NAPKIN","1","AVOCADO","10","1","9305",,,,,"1","2018-10-04 20:30:19","263839"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","30","0","PELICAN","7","ROCKET","8","1","4304",,,,,"1","2018-10-04 20:30:24","263840"
"A2653BIPJKEMRK","cs_wg_rev_conf_v2_pilot1","3TPWUS5F892KZH5ERX5ML813EB8CW4","9","0","WIZARD","7","AVOCADO","10","1","4744",,,,,"1","2018-10-04 20:30:27","263841"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","31","0","BICYCLE","6","ROCKET","8","1","4099",,,,,"1","2018-10-04 20:30:31","263842"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","32","0","ROCKET","8","SKUNK","8","0","3408",,,,,"1","2018-10-04 20:30:38","263843"
"A2653BIPJKEMRK","cs_wg_rev_conf_v2_pilot1","3TPWUS5F892KZH5ERX5ML813EB8CW4","10","0","CRICKET","8","BICYCLE","10","1","4901",,,,,"1","2018-10-04 20:30:43","263844"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","33","0","SKUNK","8","AIRBAG","10","1","5347",,,,,"1","2018-10-04 20:30:45","263845"
"A2653BIPJKEMRK","cs_wg_rev_conf_v2_pilot1","3TPWUS5F892KZH5ERX5ML813EB8CW4","11","0","NAPKIN","1","BICYCLE","10","1","2878",,,,,"0","2018-10-04 20:30:47","263846"
"A2653BIPJKEMRK","cs_wg_rev_conf_v2_pilot1","3TPWUS5F892KZH5ERX5ML813EB8CW4","12","0","VOLCANO","6","NAPKIN","1","0","2131",,,,,"0","2018-10-04 20:30:51","263847"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","34","0","VOLCANO","7","LIZARD","9","1","5957",,,,,"1","2018-10-04 20:30:54","263848"
"A2653BIPJKEMRK","cs_wg_rev_conf_v2_pilot1","3TPWUS5F892KZH5ERX5ML813EB8CW4","13","0","WIZARD","7","COWBOY","6","0","6729",,,,,"1","2018-10-04 20:31:00","263849"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","35","0","VOLCANO","7","AVOCADO","9","1","4147",,,,,"1","2018-10-04 20:31:02","263850"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","36","0","BANANA","10","AIRBAG","10","0","3158",,,,,"1","2018-10-04 20:31:08","263851"
"A2653BIPJKEMRK","cs_wg_rev_conf_v2_pilot1","3TPWUS5F892KZH5ERX5ML813EB8CW4","14","0","VOLCANO","6","PELICAN","7","1","10144",,,,,"1","2018-10-04 20:31:13","263852"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","37","0","AIRBAG","10","PUMPKIN","1","0","3352",,,,,"1","2018-10-04 20:31:14","263853"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","38","0","PUMPKIN","1","AIRBAG","10","1","4583",,,,,"1","2018-10-04 20:31:21","263854"
"A2653BIPJKEMRK","cs_wg_rev_conf_v2_pilot1","3TPWUS5F892KZH5ERX5ML813EB8CW4","15","0","CRICKET","8","BLOUSE","8","0","10503",,,,,"1","2018-10-04 20:31:25","263855"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","39","0","LIZARD","9","AIRBAG","10","1","2882",,,,,"0","2018-10-04 20:31:27","263856"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","40","0","ROCKET","8","VOLCANO","7","0","4050",,,,,"1","2018-10-04 20:31:33","263857"
