"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","stamp","id"
"AOIR8V07FYMH5","cs_wg_v6_pilot2","31QTRG6Q2TE7IB9IB39GQ5LOCSQYP6","test","Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","0","60","1","34750","ladder",,"21000","2017-09-26 20:57:50","6776"
"AD8JNBDMO3NED","cs_wg_v6_pilot2","3GLB5JMZFXWY7NLSCOWFJBXVTDYDGA","test","Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","7","30","0","9819","HUMMUS",,"31000","2017-09-26 20:58:24","6777"
"AOIR8V07FYMH5","cs_wg_v6_pilot2","31QTRG6Q2TE7IB9IB39GQ5LOCSQYP6","test","Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","1","30","1","11891","bookshelf",,"21000","2017-09-26 20:58:25","6778"
"A2KJFH8QSCARQA","cs_wg_v6_pilot2","32SVAV9L3FAZF46SXZYTAG0G45W3AQ","test","Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","1","20","1","56632",,,"16000","2017-09-26 20:58:30","6779"
"A3TCFIPOBRZZB3","cs_wg_v6_pilot2","3FDJT1UU74985W2IN9ZBJR1WNDH5KX","test","Memory","8",NULL,"8","100","1","17155","[""football"",""structure"",""doorway"",""umbrella"",""wedding"",""basket"",""machine"",""traffic"",""bookshelf"",""keyboard"",""community"",""ladder"",""building"",""helicopter""]",,"181000","2017-09-26 20:58:43","6780"
"A2KJFH8QSCARQA","cs_wg_v6_pilot2","32SVAV9L3FAZF46SXZYTAG0G45W3AQ","test","Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","2","60","1","35101","helicopter","wedding
helicopter","21000","2017-09-26 20:59:28","6781"
"AOIR8V07FYMH5","cs_wg_v6_pilot2","31QTRG6Q2TE7IB9IB39GQ5LOCSQYP6","test","Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","2","60","0","62881","wedding",,"16000","2017-09-26 20:59:47","6782"
"A2KJFH8QSCARQA","cs_wg_v6_pilot2","32SVAV9L3FAZF46SXZYTAG0G45W3AQ","test","Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","3","30","1","16770","bookshelf","ladder
bookshelf
wedding","21000","2017-09-26 21:00:08","6783"
"AOIR8V07FYMH5","cs_wg_v6_pilot2","31QTRG6Q2TE7IB9IB39GQ5LOCSQYP6","test","Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","3","40","0","47475","stool",,"16000","2017-09-26 21:00:54","6784"
"A2KJFH8QSCARQA","cs_wg_v6_pilot2","32SVAV9L3FAZF46SXZYTAG0G45W3AQ","test","Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","4","60","0","52499","helicopter","ladder
helicopter
wedding
bookshelf
","26000","2017-09-26 21:01:28","6785"
