"subject","version","assignmentId","trial","trial_type","word","value","alt","choice","rt","resp","resp2","stamp","id"
"AITLTT4ZKSZIM","cs_wg_v3_real1","3LOZAJ85YDEMQZI249C2BE6L69F2XR","57","0","BOOKSHELF","10","5","0","1379","BOOKSHELF","10","2017-03-26 23:54:53","6895"
"A1FP3SH704X01V","cs_wg_v3_real1","3LO69W1SU3EH5Z9KP5U32O5Z9J9LG6","106","0","HELICOPTER","9","5","0","1292","helicopter","9","2017-03-26 23:54:54","6896"
"A1GV0UZU0T2ORS","cs_wg_v3_real1","36NEMU28XFEX83H54MZ0O46C3CPWMI","93","0","UMBRELLA","2","5","1","10040","UMBRELLA","2","2017-03-26 23:54:59","6897"
"ANVAFB99K5RKP","cs_wg_v3_real1","3XUHV3NRVKZH361AHOWE6ZL32TN5H2","73","0","FOOTBALL","0","5","1","1397","football","0","2017-03-26 23:55:00","6898"
"A1FP3SH704X01V","cs_wg_v3_real1","3LO69W1SU3EH5Z9KP5U32O5Z9J9LG6","107","0","HELICOPTER","9","5","0","999","helicopter","9","2017-03-26 23:55:02","6899"
"AITLTT4ZKSZIM","cs_wg_v3_real1","3LOZAJ85YDEMQZI249C2BE6L69F2XR","58","0","UMBRELLA","1","5","1","2962","UMBRELLA","1","2017-03-26 23:55:05","6900"
"ANVAFB99K5RKP","cs_wg_v3_real1","3XUHV3NRVKZH361AHOWE6ZL32TN5H2","74","0","KEYBOARD","1","5","1","1051","keyboard","1","2017-03-26 23:55:07","6901"
"A1GV0UZU0T2ORS","cs_wg_v3_real1","36NEMU28XFEX83H54MZ0O46C3CPWMI","94","0","BOOKSHELF","0","5","1","3862","BOOKSHELF","0","2017-03-26 23:55:09","6902"
"A1FP3SH704X01V","cs_wg_v3_real1","3LO69W1SU3EH5Z9KP5U32O5Z9J9LG6","108","0","BOOKSHELF","0","5","1","1267","bookshelf","0","2017-03-26 23:55:12","6903"
"ANVAFB99K5RKP","cs_wg_v3_real1","3XUHV3NRVKZH361AHOWE6ZL32TN5H2","75","0","COMMUNITY","8","5","0","805","community","8","2017-03-26 23:55:16","6904"
"A1GV0UZU0T2ORS","cs_wg_v3_real1","36NEMU28XFEX83H54MZ0O46C3CPWMI","95","0","LADDER","9","5","0","1462","LADDER","9","2017-03-26 23:55:16","6905"
"AITLTT4ZKSZIM","cs_wg_v3_real1","3LOZAJ85YDEMQZI249C2BE6L69F2XR","59","0","DOORWAY","9","5","0","1300","DOORWAY","9","2017-03-26 23:55:16","6906"
"A1FP3SH704X01V","cs_wg_v3_real1","3LO69W1SU3EH5Z9KP5U32O5Z9J9LG6","109","0","WEDDING","10","5","0","3301","wedding","10","2017-03-26 23:55:22","6907"
"ANVAFB99K5RKP","cs_wg_v3_real1","3XUHV3NRVKZH361AHOWE6ZL32TN5H2","76","0","DOORWAY","1","5","1","1270","doorway","1","2017-03-26 23:55:24","6908"
