Subj,Trial,OptionID,Choice,MFval,MBval,nPrevChosen
3,8,20,0,7,7,0
3,8,21,0,4,18,0
3,8,22,0,6,4,0
3,8,23,0,5,12,1
3,8,24,0,3,22,0
3,8,25,0,7,8,0
3,8,26,0,6,8,0
3,8,27,0,5,6,1
3,8,28,0,2,4,1
3,8,29,0,2,16,2
3,8,30,0,5,6,0
3,8,31,0,7,7,0
3,8,32,0,7,11,0
3,8,33,0,3,7,0
3,9,1,0,3,4,0
3,9,2,0,5,9,0
3,9,3,0,6,17,0
3,9,4,0,2,2,0
3,9,5,0,5,13,1
3,9,6,0,1,10,0
3,9,7,0,3,11,0
3,9,8,0,2,2,0
3,9,9,0,5,9,0
3,9,10,0,2,14,1
3,9,11,0,7,11,0
3,9,12,0,4,17,0
3,9,13,0,5,9,0
3,9,14,0,2,13,0
3,9,15,0,3,12,0
3,9,16,0,2,2,0
3,9,17,1,2,7,0
3,9,18,0,3,20,0
3,9,19,0,5,12,1
3,9,20,0,7,16,0
3,9,21,0,4,18,0
3,9,22,0,6,9,0
3,9,23,0,5,12,1
3,9,24,0,3,4,0
3,9,25,0,7,14,0
3,9,26,0,6,16,0
3,9,27,0,5,9,1
3,9,28,0,2,5,1
3,9,29,0,2,6,2
3,9,30,0,5,20,0
3,9,31,0,7,10,0
3,9,32,0,7,6,0
3,9,33,0,3,17,0
4,1,1,0,2,4,0
4,1,2,0,5,7,0
4,1,3,0,7,18,0
4,1,4,0,5,11,0
4,1,5,0,4,24,0
4,1,6,0,2,11,0
4,1,7,0,2,21,0
4,1,8,0,2,10,0
4,1,9,0,7,10,0
4,1,10,0,3,12,0
4,1,11,1,6,14,0
4,1,12,0,4,6,0
4,1,13,0,6,11,0
4,1,14,0,2,11,0
4,1,15,0,5,12,0
4,1,16,0,1,11,0
4,1,17,0,4,5,0
4,1,18,0,2,5,0
4,1,19,0,2,7,0
4,1,20,0,3,19,0
4,1,21,0,7,9,0
4,1,22,0,5,18,0
4,1,23,0,4,10,0
4,1,24,0,6,11,0
4,1,25,0,4,14,0
4,1,26,0,6,14,0
4,1,27,0,2,17,0
4,1,28,0,2,2,0
4,1,29,0,7,3,0
4,1,30,0,7,7,0
4,1,31,0,6,8,0
4,1,32,0,4,15,0
4,1,33,0,4,2,0
4,2,1,0,2,16,0
4,2,2,0,5,22,0
4,2,3,0,7,7,0
4,2,4,0,5,13,0
4,2,5,0,4,4,0
4,2,6,0,2,4,0
4,2,7,0,2,1,0
4,2,8,0,2,7,0
4,2,9,0,7,9,0
4,2,10,0,3,2,0
4,2,11,0,6,13,1
4,2,12,0,4,9,0
4,2,13,0,6,9,0
4,2,14,0,2,5,0
4,2,15,0,5,13,0
4,2,16,1,1,11,0
4,2,17,0,4,12,0
4,2,18,0,2,12,0
4,2,19,0,2,14,0
4,2,20,0,3,25,0
4,2,21,0,7,7,0
4,2,22,0,5,13,0
4,2,23,0,4,18,0
4,2,24,0,6,11,0
4,2,25,0,4,20,0
4,2,26,0,6,21,0
4,2,27,0,2,3,0
4,2,28,0,2,21,0
4,2,29,0,7,10,0
4,2,30,0,7,14,0
4,2,31,0,6,4,0
4,2,32,0,4,1,0
4,2,33,0,4,13,0
4,3,1,0,2,3,0
4,3,2,0,5,4,0
4,3,3,0,7,9,0
4,3,4,0,5,21,0
4,3,5,0,4,13,0
4,3,6,0,2,9,0
4,3,7,0,2,12,0
4,3,8,0,2,13,0
4,3,9,0,7,8,0
4,3,10,0,3,3,0
4,3,11,0,6,9,1
4,3,12,0,4,13,0
4,3,13,0,6,17,0
4,3,14,0,2,22,0
4,3,15,0,5,21,0
4,3,16,0,1,20,1
4,3,17,0,4,10,0
4,3,18,0,2,7,0
4,3,19,0,2,4,0
4,3,20,0,3,15,0
4,3,21,0,7,14,0
4,3,22,0,5,6,0
4,3,23,0,4,4,0
4,3,24,0,6,5,0
4,3,25,0,4,6,0
4,3,26,0,6,22,0
4,3,27,0,2,16,0
4,3,28,1,2,4,0
