Subj,Trial,OptionID,Choice,MFval,MBval,Choice2
7,8,10,0,0,13,0
7,8,11,0,1,3,0
7,8,12,1,1,12,0
7,8,13,0,1,10,0
7,8,14,0,1,2,0
8,1,1,0,0,14,2
8,1,2,1,1,3,0
8,1,3,0,0,12,0
8,1,4,0,1,5,0
8,1,5,0,1,2,0
8,1,6,0,1,8,0
8,1,7,0,1,9,0
8,1,8,0,0,10,0
8,1,9,0,0,4,0
8,1,10,0,1,13,0
8,1,11,0,0,11,0
8,1,12,0,0,6,0
8,1,13,0,0,7,0
8,1,14,0,1,1,0
8,2,1,1,0,13,1
8,2,2,0,1,11,0
8,2,3,0,0,8,0
8,2,4,0,1,4,0
8,2,5,0,1,1,0
8,2,6,0,1,3,0
8,2,7,0,1,14,0
8,2,8,0,0,5,0
8,2,9,0,0,12,0
8,2,10,0,1,10,0
8,2,11,0,0,6,0
8,2,12,0,0,7,0
8,2,13,0,0,2,0
8,2,14,0,1,9,0
8,3,1,0,0,14,6
8,3,2,0,1,2,0
8,3,3,0,0,3,0
8,3,4,0,1,5,0
8,3,5,0,1,4,0
8,3,6,1,1,9,0
8,3,7,0,1,13,0
8,3,8,0,0,1,0
8,3,9,0,0,7,0
8,3,10,0,1,6,0
8,3,11,0,0,11,0
8,3,12,0,0,10,0
8,3,13,0,0,12,0
8,3,14,0,1,8,0
8,4,1,0,0,13,2
8,4,2,1,1,6,0
8,4,3,0,0,1,0
8,4,4,0,1,5,0
8,4,5,0,1,3,0
8,4,6,0,1,7,0
8,4,7,0,1,10,0
8,4,8,0,0,4,0
8,4,9,0,0,2,0
8,4,10,0,1,12,0
8,4,11,0,0,8,0
8,4,12,0,0,9,0
8,4,13,0,0,11,0
8,4,14,0,1,14,0
8,5,1,0,0,9,2
8,5,2,1,1,14,0
8,5,3,0,0,11,0
8,5,4,0,1,6,0
8,5,5,0,1,2,0
8,5,6,0,1,10,0
8,5,7,0,1,4,0
8,5,8,0,0,12,0
8,5,9,0,0,1,0
8,5,10,0,1,3,0
8,5,11,0,0,5,0
8,5,12,0,0,13,0
8,5,13,0,0,7,0
8,5,14,0,1,8,0
8,6,1,0,0,11,12
8,6,2,0,1,7,0
8,6,3,0,0,8,0
8,6,4,0,1,10,0
8,6,5,0,1,3,0
8,6,6,0,1,9,0
8,6,7,0,1,14,0
8,6,8,0,0,12,0
8,6,9,0,0,1,0
8,6,10,0,1,6,0
8,6,11,0,0,2,0
8,6,12,1,0,5,0
8,6,13,0,0,13,0
8,6,14,0,1,4,0
8,7,1,0,0,3,4
8,7,2,0,1,2,0
8,7,3,0,0,9,0
8,7,4,1,1,14,0
8,7,5,0,1,12,0
8,7,6,0,1,1,0
8,7,7,0,1,8,0
8,7,8,0,0,10,0
8,7,9,0,0,13,0
8,7,10,0,1,5,0
8,7,11,0,0,7,0
8,7,12,0,0,11,0
8,7,13,0,0,4,0
8,7,14,0,1,6,0
8,8,1,0,0,11,10
8,8,2,0,1,8,0
8,8,3,0,0,14,0
8,8,4,0,1,5,0
8,8,5,0,1,6,0
8,8,6,0,1,4,0
8,8,7,0,1,7,0
8,8,8,0,0,9,0
8,8,9,0,0,1,0
8,8,10,1,1,13,0
8,8,11,0,0,3,0
8,8,12,0,0,12,0
8,8,13,0,0,10,0
8,8,14,0,1,2,0
9,1,1,1,1,14,1
9,1,2,0,0,3,0
9,1,3,0,0,12,0
9,1,4,0,0,5,0
9,1,5,0,1,2,0
9,1,6,0,0,8,0
9,1,7,0,1,9,0
9,1,8,0,1,10,0
9,1,9,0,1,4,0
9,1,10,0,1,13,0
9,1,11,0,0,11,0
9,1,12,0,0,6,0
9,1,13,0,1,7,0
9,1,14,0,0,1,0
9,2,1,0,1,13,9
9,2,2,0,0,11,0
9,2,3,0,0,8,0
9,2,4,0,0,4,0
9,2,5,0,1,1,0
9,2,6,0,0,3,0
9,2,7,0,1,14,0
9,2,8,0,1,5,0
9,2,9,1,1,12,0
9,2,10,0,1,10,0
9,2,11,0,0,6,0
9,2,12,0,0,7,0
9,2,13,0,1,2,0
9,2,14,0,0,9,0
9,3,1,1,1,14,1
9,3,2,0,0,2,0
9,3,3,0,0,3,0
9,3,4,0,0,5,0
9,3,5,0,1,4,0
9,3,6,0,0,9,0
9,3,7,0,1,13,0
9,3,8,0,1,1,0
9,3,9,0,1,7,0
9,3,10,0,1,6,0
9,3,11,0,0,11,0
9,3,12,0,0,10,0
9,3,13,0,1,12,0
9,3,14,0,0,8,0
9,4,1,0,1,13,10
9,4,2,0,0,6,0
9,4,3,0,0,1,0
9,4,4,0,0,5,0
9,4,5,0,1,3,0
9,4,6,0,0,7,0
9,4,7,0,1,10,0
9,4,8,0,1,4,0
9,4,9,0,1,2,0
9,4,10,1,1,12,0
9,4,11,0,0,8,0
9,4,12,0,0,9,0
9,4,13,0,1,11,0
9,4,14,0,0,14,0
9,5,1,0,1,9,2
